IDcyclist,gene_sz_lastname,gene_sz_firstname,fkIDteam
1,Froner,Axel,563
4,Madouas,Valentin,6
16,Mollema,Bauke,11
178,Taaramäe,Rein,247
301,Froome,Chris,119
659,Clarke,Simon,42
754,Poels,Wout,236
780,Duarte,Fabio,119
797,Swift,Ben,2
1033,Caruso,Damiano,13
1199,Bole,Grega,119
1269,Degenkolb,John,15
1380,Doubey,Fabien,25
1381,Biermans,Jenthe,34
1820,Arashiro,Yukiya,176
1936,Kruijswijk,Steven,14
1945,Cimolai,Davide,119
1951,Kluge,Roger,267
1959,Ulissi,Diego,12
1975,Oliveira,Nélson,1
1978,de la Cruz,David,22
1981,Kwiatkowski,Michal,2
1986,Aberasturi,Jon,119
1991,Izagirre,Ion,34
1992,Landa,Mikel,10
2046,Quintana,Nairo,1
2065,Baugnies,Jérôme,119
2123,Juul-Jensen,Christopher,20
2268,Tratnik,Jan,33
2283,Schwarzmann,Michael,119
2303,Herrada,Jesús,92
2318,Vermote,Julien,119
2319,Matthews,Michael,20
2321,Vermeltfoort,Coen,119
2346,Skujins,Toms,11
2386,Boivin,Guillaume,42
2389,Houle,Hugo,37
2407,Pasqualon,Andrea,119
2422,Bilbao,Pello,13
2441,Haller,Marco,226
2452,Bennett,Sam,22
2505,Valgren,Michael,5
2510,Sütterlin,Jasha,20
2515,Bizkarra,Mikel,100
2523,Bennett,George,42
2531,Vink,Michael,119
2542,Molard,Rudy,6
2554,Kelderman,Wilco,14
2626,Groenewegen,Dylan,236
2628,Ottema,Rick,167
2636,Havik,Yoeri,119
2650,Schulting,Peter,119
2658,Janse van Rensburg,Reinardt,280
2678,Kamp,Alexander,99
2683,Trentin,Matteo,226
2697,Durbridge,Luke,20
2715,Van Asbroeck,Tom,42
2799,Fortin,Filippo,112
2800,Stake Laengen,Vegard,16
2804,Manakov,Viktor,199
2845,Pellaud,Simon,423
2853,Verona,Carlos,11
2893,Silva,Bruno,259
2897,Arndt,Nikias,13
3001,Konrad,Patrick,11
3011,Cort Nielsen,Magnus,99
3022,Barguil,Warren,15
