IDteam,gene_sz_name,gene_sz_shortname
1,Movistar Team,Movistar
2,INEOS Grenadiers,INEOS Grenadiers
3,Decathlon CMA CGM Team,Decathlon CMA CGM
5,EF Education - EasyPost,EF - EasyPost
6,Groupama-FDJ United,Groupama-FDJ
9,Lotto Intermarché,Lotto Intermarché
10,Soudal Quick-Step,Soudal Quick-Step
11,Lidl-Trek,Lidl-Trek
12,XDS Astana Team,XDS Astana
13,Bahrain Victorious,Bahrain Victorious
14,Team Visma | Lease a Bike,Visma - Lease a Bike
15,Team Picnic PostNL,Picnic PostNL
16,UAE Team Emirates XRG,UAE Emirates
20,Team Jayco AlUla,Jayco AlUla
22,Pinarello-Q36.5 Pro Cycling Team,Pinarello-Q36.5
25,TotalEnergies,TotalEnergies
26,Modern Adventure Pro Cycling,Modern Adventure
33,Red Bull - BORA - hansgrohe,Red Bull - BORA
34,Cofidis,Cofidis
35,Caja Rural-Seguros RGA,Caja Rural
37,Alpecin-Premier Tech,Alpecin-Premier Tech
38,APHotels & Resorts / Tavira / SC Farense,APHotels / Tavira
40,Team Vorarlberg,Vorarlberg
42,NSN Cycling Team,NSN Cycling
43,GW Erco SportFitness,GW Erco
50,Kolersarski Klub Novo Mesto,KK Novo Mesto
58,Kasper crypto4me,Kasper crypto4me
59,Van Rysel Roubaix,Van Rysel Roubaix
68,St Michel - Preference Home - Auber93,St Michel - Auber93
69,Team Flanders - Baloise,Flanders - Baloise
70,Equipo Kern Pharma,Kern Pharma
81,Bardiani CSF 7 Saber,Bardiani CSF
87,Wagner Bazin,Wagner Bazin
92,Burgos-Burpellet-BH,Burgos
95,Team UKYO,Team UKYO
96,Team Vino - North Qazaqstan Region,Vino
99,Uno-X Mobility,Uno-X Mobility
100,Euskaltel-Euskadi,Euskaltel-Euskadi
102,Team Polti VisitMalta,Polti
105,Anicolor / Campicarn Cycling Team,Anicolor
106,Mazowsze Serce Polski,Mazowsze Serce Polski
109,Feira dos Sofás - Boavista Cycling Team,Feira dos Sofás - Boavista
110,Tarteletto - Isorex,Tarteletto - Isorex
112,Hrinkow Advarics,Hrinkow Advarics
114,Tirol KTM Cycling Team,Tirol KTM
119,-,-
123,Team Novo Nordisk,Novo Nordisk
124,Color Code - Alu Center Cycling Team,Color Code
125,Schwingshandl Intralogistics,Schwingshandl
126,UN Cycling Team x Pyörävarikko,UN Cycling
127,Campana Imballaggi-Morbiato-Trentino,Campana Imballagi
128,Fany Gastro Integray L27,Fany Gastro
129,NAVIHOOD DFT CCN Winspace Continental Team,NAVIHOOD DFT
130,MBB Continental Cycling Team,MBB CT
131,Meridian Racing p/b de la Uz,Meridian Racing
135,Hagens Berman Jayco,Hagens Berman
140,Metec - Solarwatt p/b Mantel,Metec
146,Parkhotel Valkenburg,Parkhotel Valkenburg
147,Team ColoQuick,ColoQuick
149,Mg.K Vis Costruzioni e Ambiente,Mg.K Vis
150,Team Drali - Repsol,Drali - Repsol
153,Team Lotto Kern-Haus Outlet Montabaur,Lotto Kern-Haus
158,BEAT Cycling Club,BEAT Cycling
159,UAE Team Emirates Gen-Z,UAE Emirates Gen-Z
160,Biesse - Carrera - Premac,Biesse - Carrera
161,BHS-PL Beton Bornholm,BHS-PL Beton
162,Voster ATS Team,Voster ATS
164,Soudal Quick-Step Devo Team,Soudal Quick-Step DT
166,Lidl-Trek Future Racing,Lidl-Trek Future
167,EEW-VDK Cyclingteam,EEW-VDK
168,Nice Métropole Côte d'Azur,Nice Métropole
169,CIC Pro Cycling Academy,CIC Pro Cycling
170,Gallina Lucchini Ecotek Colosio,Gallina Lucchini
171,Efapel Cycling,Efapel
172,Run&Race-Solarpur,Run&Race-Solarpur
173,Petrolike,Petrolike
174,XDS Astana Development Team,XDS Astana DT
176,Solution Tech NIPPO Rali,Solution Tech NIPPO
177,Equipo Cortizo,Cortizo
178,Red Bull - BORA - hansgrohe Rookies,Red Bull Rookies
179,Factor Racing,Factor
