IDrace,gene_sz_race_name,gene_sz_abbreviation,gene_sz_filename,fkIDcountry,fkIDrace_class,fkIDfirst_stage,fkIDlast_stage,gene_f_popularity,gene_i_number_stages,gene_sz_mailOrganisateur,gene_ilist_fkIDteam,gene_ilist_objectif_info,CONSTANT,gene_sz_classification_xml,gene_f_organisateur_coeff,fkIDrace_type,gene_b_national_tour,fkID_iconic_region,gene_i_comfort,gene_b_aso,gene_sz_currentvariant,value_i_prime,gene_b_selected,value_i_offsetLeapYear
1,Petronas Le Tour de Langkawi,Langka,t0_malaysia,49,10,1001,8001,22.0,8,mncf@mail.com,"(12,15,99,226,25,70,236,92,102,81,176,216,269,333,422,200,218,264,237,254,248)",(),tourofmalaysia,t0_malaysia,1.0,3,1,0,4,0,,128,1,0
2,Kuurne - Brussel - Kuurne,K-B-K,c0_kuurne,4,16,1002,1002,55.0,1,info@kuurne-brussel-kuurne.be,"(37,10,13,34,3,5,6,11,1,33,20,15,14,16,12,9,69,87,42,22,226,236,99)",(),kuurne,cont_1hc,1.0,17,0,402,3,0,,84,1,0
4,Paris-Roubaix,Roubai,topclas_roubaix,3,6,1004,1004,91.0,1,tgouvenou@aso.fr,"(37,13,34,3,5,6,2,11,1,33,10,20,15,14,16,12,99,226,25,42,9,22,236)",(),parisroubaix,top_classiques_majeures,1.0,11,0,315,5,1,,8,1,0
5,Tour de Suisse,Suisse,top_suisse,17,3,1005,5005,69.0,5,info@tds.ch,"(16,37,34,13,3,5,6,2,11,1,33,10,20,15,14,12,42,9,22,226)",(),tourdesuisse,top_suisse,1.0,2,1,1701,4,0,,16,1,0
6,Coppa Bernocchi - GP Banco BPM,Berno,c0_bernocchi,2,16,1006,1006,34.0,1,u.s.legnanese@virgilio.it,"(37,13,34,3,5,11,1,33,10,15,20,14,16,12,176,22,102,226,99,81,92,221,95)",(),bornecchi,cont_1hc,1.0,10,0,204,2,0,,196,1,0
8,Tour de l'Ain,Ain,t1_ain,3,11,1008,3008,19.0,3,pcolliou@tourdelain.com,"(14,59,34,3,6,68,22,169,240,222,25,168,236)",(),circuitain,t1_ain,1.0,3,0,0,1,0,,63,1,0
9,Denmark - National Road Championships,DEN RR,nat-den,10,22,1009,1009,31.0,1,jens.kasler@cyklingdanmark.dk,(),(),champ_danemark,cont_12,0.0,9,0,0,4,0,,2067,1,0
10,Switzerland - National Road Championships,SWI RR,nat-swi,17,22,1010,1010,25.0,1,lukas.stieger@rvwetzikon.ch,(),(),champ_switzerland,cont_12,0.0,9,0,0,4,0,,2227,1,0
11,Ronde van Vlaanderen,RVV,topclas_rondevv,4,6,1011,1011,91.0,1,nicolas.denys@flandersclassics.be,"(37,13,34,3,5,6,2,11,1,33,10,20,15,14,16,12,22,9,42,226,69,99,87)",(),tourdesflandres,top_classiques_majeures,1.0,12,0,402,5,0,,5,1,0
12,Itzulia Basque Country,Itzulia,top_pvasco,8,3,1012,6012,70.0,6,admon@oceta.eus,"(37,13,34,3,5,6,2,11,1,33,10,20,15,14,16,12,25,100,70,92,35,226)",(),tourpaysbasque,top_paysbasque,1.0,18,0,816,4,0,,6,1,0
